VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,"1/1/2018, 2:21:05 AM","1/1/2018, 2:24:23 AM",1,0.5,1,N,41,24,2,4.5,0.5,0.5,0,0,0.3,5.8,-,-
1,"1/1/2018, 2:44:55 AM","1/1/2018, 3:03:05 AM",1,2.7,1,N,239,140,2,14,0.5,0.5,0,0,0.3,15.3,-,-
1,"1/1/2018, 2:08:26 AM","1/1/2018, 2:14:21 AM",2,0.8,1,N,262,141,1,6,0.5,0.5,1,0,0.3,8.3,-,-
1,"1/1/2018, 2:20:22 AM","1/1/2018, 2:52:51 AM",1,10.2,1,N,140,257,2,33.5,0.5,0.5,0,0,0.3,34.8,-,-
1,"1/1/2018, 2:09:18 AM","1/1/2018, 2:27:06 AM",2,2.5,1,N,246,239,1,12.5,0.5,0.5,2.75,0,0.3,16.55,-,-
1,"1/1/2018, 2:29:29 AM","1/1/2018, 2:32:48 AM",3,0.5,1,N,143,143,2,4.5,0.5,0.5,0,0,0.3,5.8,-,-
1,"1/1/2018, 2:38:08 AM","1/1/2018, 2:48:24 AM",2,1.7,1,N,50,239,1,9,0.5,0.5,2.05,0,0.3,12.35,-,-
1,"1/1/2018, 2:49:29 AM","1/1/2018, 2:51:53 AM",1,0.7,1,N,239,238,1,4,0.5,0.5,1,0,0.3,6.3,-,-
1,"1/1/2018, 2:56:38 AM","1/1/2018, 3:01:05 AM",1,1,1,N,238,24,1,5.5,0.5,0.5,1.7,0,0.3,8.5,-,-
1,"1/1/2018, 2:17:04 AM","1/1/2018, 2:22:24 AM",1,0.7,1,N,170,170,2,5.5,0.5,0.5,0,0,0.3,6.8,-,-
1,"1/1/2018, 2:41:03 AM","1/1/2018, 2:46:49 AM",1,0.6,1,N,162,229,1,5.5,0.5,0.5,1.35,0,0.3,8.15,-,-
1,"1/1/2018, 2:52:54 AM","1/1/2018, 3:17:33 AM",1,3.5,1,N,141,113,2,16.5,0.5,0.5,0,0,0.3,17.8,-,-
